case_id,axis,parameter,value,status,event_count,transition_count,motif_count,motif_1_support,motif_2_support,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,raw_sample_value_loss_fraction,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,event_instance_loss_fraction,temporal_order_loss_fraction,event_duration,window_size,activation_threshold,noise_episodes,active_mean,active_std,baseline_mean,baseline_std
baseline,baseline,none,0.0,faithful,420,280,26,60,60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,3,0.75,20,1.0,0.05,0.03,0.01
noise_00,noise,noise_episodes,0.0,faithful,360,240,11,60,60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,3,0.75,0,1.0,0.05,0.03,0.01
noise_10,noise,noise_episodes,10.0,faithful,390,260,21,60,60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,3,0.75,10,1.0,0.05,0.03,0.01
noise_20,noise,noise_episodes,20.0,faithful,420,280,29,60,60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,3,0.75,20,1.0,0.05,0.03,0.01
noise_40,noise,noise_episodes,40.0,faithful,480,320,32,60,60,1.0,1.0,0.0,0.85,1.0,0.9375,0.0,1.0,1.0,1.0,3,3,0.75,40,1.0,0.05,0.03,0.01
noise_60,noise,noise_episodes,60.0,faithful,540,360,44,60,60,1.0,1.0,0.0,0.85,1.0,0.669725,0.0,1.0,1.0,1.0,3,3,0.75,60,1.0,0.05,0.03,0.01
threshold_0.45,threshold,activation_threshold,0.45,failed,420,280,26,60,60,1.0,1.555556,0.555556,0.766667,1.0,1.0,0.0,1.0,1.0,1.0,3,3,0.45,20,1.0,0.05,0.03,0.01
threshold_0.60,threshold,activation_threshold,0.6,failed,419,279,27,60,60,1.0,1.554762,0.554762,0.766786,1.0,1.0,0.0,1.0,1.0,1.0,3,3,0.6,20,1.0,0.05,0.03,0.01
threshold_0.75,threshold,activation_threshold,0.75,faithful,420,280,28,60,60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,3,0.75,20,1.0,0.05,0.03,0.01
threshold_0.90,threshold,activation_threshold,0.9,faithful,419,279,27,59,60,0.983333,1.015758,0.015758,0.850357,1.0,0.987952,0.0,1.0,1.0,1.0,3,3,0.9,20,1.0,0.05,0.03,0.01
threshold_1.05,threshold,activation_threshold,1.05,failed,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3,3,1.05,20,1.0,0.05,0.03,0.01
window_1,temporal_resolution,window_size,1.0,faithful,420,280,22,60,60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,1,0.75,20,1.0,0.05,0.03,0.01
window_2,temporal_resolution,window_size,2.0,faithful,420,280,27,60,60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,0.75,20,1.0,0.05,0.03,0.01
window_3,temporal_resolution,window_size,3.0,faithful,420,280,27,60,60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,3,0.75,20,1.0,0.05,0.03,0.01
window_4,temporal_resolution,window_size,4.0,failed,185,67,20,5,4,0.066667,0.674603,0.0,0.89881,1.0,0.722222,0.0,1.0,1.0,1.0,3,4,0.75,20,1.0,0.05,0.03,0.01
window_5,temporal_resolution,window_size,5.0,failed,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3,5,0.75,20,1.0,0.05,0.03,0.01
duration_1,event_duration,event_duration,1.0,failed,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,3,0.75,20,1.0,0.05,0.03,0.01
duration_2,event_duration,event_duration,2.0,failed,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2,3,0.75,20,1.0,0.05,0.03,0.01
duration_3,event_duration,event_duration,3.0,faithful,420,280,26,60,60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,3,0.75,20,1.0,0.05,0.03,0.01
duration_4,event_duration,event_duration,4.0,faithful,420,280,24,60,60,1.0,1.0,0.0,0.833333,1.0,1.0,0.0,1.0,1.0,1.0,4,3,0.75,20,1.0,0.05,0.03,0.01
duration_5,event_duration,event_duration,5.0,faithful,420,280,27,60,60,1.0,1.0,0.0,0.821429,1.0,1.0,0.0,1.0,1.0,1.0,5,3,0.75,20,1.0,0.05,0.03,0.01
signal_0.55,signal_separation,active_mean,0.55,failed,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3,3,0.75,20,0.55,0.05,0.03,0.01
signal_0.70,signal_separation,active_mean,0.7,failed,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3,3,0.75,20,0.7,0.05,0.03,0.01
signal_0.85,signal_separation,active_mean,0.85,faithful,419,279,31,60,59,0.983333,1.028642,0.028642,0.850357,1.0,1.0,0.0,1.0,1.0,1.0,3,3,0.75,20,0.85,0.05,0.03,0.01
signal_1.00,signal_separation,active_mean,1.0,faithful,420,280,25,60,60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,3,0.75,20,1.0,0.05,0.03,0.01
signal_1.15,signal_separation,active_mean,1.15,degraded,418,278,26,60,60,1.0,1.412698,0.412698,0.788095,1.0,1.0,0.0,1.0,1.0,1.0,3,3,0.75,20,1.15,0.05,0.03,0.01
